"~id,initials:String,title:String,department:String,location:String,~label"
"10011,B.N.,Eng - System IV,Cloud Infrastructure and IT,Remote - CO (Aurora),Employee"
"10038,R.N.,Rep - Advanced Technical Support,Advanced Technical Support,Hiawatha,Employee"
"10042,R.N.,Eng - Software Development III,Products,Remote - IA,Employee"
"10048,L.S.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"10059,R.H.,Eng - Software Development V,Customer Experience,Hiawatha,Employee"
"10073,J.O.,Solutions Engineer III,Hosting Support Managed Services,Tempe,Employee"
"10087,J.N.,Sup - C3,Billing,Hiawatha,Employee"
"10090,L.D.,Aftermarket Sales I,Aftermarket,Tempe,Employee"
"10097,J.R.,Consultant - Productivity I,Productivity,Hiawatha,Employee"
"10099,W.D.,Eng - Software Development III,Global Platform,Tempe,Employee"
"10103,T.A.,DCAST - Business Operations Manager,Domain Services,Hiawatha,Employee"
"10104,G.H.,Legal Privacy Specialist,Legal,Hiawatha,Employee"
"10107,M.T.,Consultant - SalesSupport,Inbound Services,Remote - AZ,Employee"
"10112,L.R.,Consultant - Hosting Support I,Hosting Support Sales,Gilbert,Employee"
"10116,J.E.,Consultant - SalesSupport,C3 Support,Hiawatha,Employee"
"10121,D.L.,Mgr - C3 Site,Security - Sucuri,Remote - IA,Employee"
"10139,B.D.,Advisor - GoDaddy Business,CDT Web Presence,Tempe,Employee"
"10140,E.A.,Director - International Customer Development Team,Customer Development Team,Austin (MSH - Sales),Employee"
"10141,N.K.,Sales Consultant - Sucuri,C3 Support,Remote - AZ,Employee"
"10155,J.N.,Analyst - Website Security Support I,Security - Sucuri,Remote - IA,Employee"
"1016,R.O.,Eng - Software Development IV,Global Platform,Tempe,Employee"
"10160,J.N.,Eng - Site Reliability IV,Cloud Infrastructure and IT,Remote - WA,Employee"
"10162,D.E.,Consultant - Hosting Support I,Hosting Support Sales,Gilbert,Employee"
"10163,G.Z.,Mgr – Learning Prgm,C3 New Hire Trainers,Gilbert,Employee"
"10172,M.S.,Eng - System IV,Cloud Infrastructure and IT,Remote - CO,Employee"
"10181,L.N.,Mgr - DC Ops Program I,Cloud Infrastructure and IT,DC - Phoenix (P3),Employee"
"10182,Z.D.,Solutions Engineer III,Hosting Support Managed Services,Gilbert,Employee"
"10184,J.W.,C3 Manager- Iowa,C3 Support,Hiawatha,Employee"
"10192,B.N.,Coach - C3 (H),Advanced Technical Support,Hiawatha,Employee"
"10193,P.G.,Rep - Advanced Technical Support,Advanced Technical Support,Hiawatha,Employee"
